,Crop,N,P,K,pH,soil_moisture
0,rice,80,40,40,5.5,30
1,maize,80,40,20,5.5,50
2,chickpea,40,60,80,5.5,60
3,kidneybeans,20,60,20,5.5,45
4,pigeonpeas,20,60,20,5.5,45
5,mothbeans,20,40,20,5.5,30
6,mungbean,20,40,20,5.5,80
7,blackgram,40,60,20,5.0,60
8,lentil,20,60,20,5.5,90
9,pomegranate,20,10,40,5.5,30
10,banana,100,75,50,6.5,40
11,mango,20,20,30,5.0,15
12,grapes,20,125,200,4.0,60
13,watermelon,100,10,50,5.5,70
14,muskmelon,100,10,50,5.5,30
15,apple,20,125,200,6.5,50
16,orange,20,10,10,4.0,60
17,papaya,50,50,50,6.0,20
18,coconut,20,10,30,5.0,45
19,cotton,120,40,20,5.5,70
20,jute,80,40,40,5.5,20
21,coffee,100,20,30,5.5,20
